id,intent_label,should_escalate,escalation_reason,reply_quality,difficulty,customer_message,brand_reply
gold_0148,service_quality,YES,Angry/frustrated customer; Unresolved in metadata,3,hard,<MENTION> day by day ur services getting worst and worst. Why you guys charging ,<MENTION> Sorry for the delay. Our team is currently reviewing your email and wi
gold_0149,service_quality,YES,Unresolved in metadata,1,hard,<MENTION> <MENTION> <MENTION> <MENTION> you ppl will never change you don find a,"<MENTION> Hi, Santosh. If you're raising this matter in reference to a specific "
gold_0150,service_quality,YES,Angry/frustrated customer; Unresolved in metadata,2,hard,##uber customer care is the worst #USA #travel,<MENTION> We've received your DM and a member of our team has reached out. Pleas
gold_0151,service_quality,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,<MENTION> <MENTION> I'running out of patience. Been calling your customer servic,"<MENTION> Here to help, Ryan. A member of our team has followed up via DM."
gold_0152,technical_issue,YES,Angry/frustrated customer,3,medium,Booked #UberGo at INR 149 yesterday. Was billed INR 335 though I ended my trip 2,<MENTION> Sorry to hear about the trouble. Please follow up with us using the li
gold_0153,technical_issue,YES,Brand reply is generic/unhelpful,3,medium,"<MENTION> Hello, I'm registerd with my phone number, but when I try to book a ri",<MENTION> Here to help! Send us a note here <URL> so we can assist.
gold_0154,technical_issue,YES,Brand reply is generic/unhelpful,2,medium,"<MENTION> Your app dosent work well on windows. How many ever times I type ""Requ",<MENTION> Here to help. Send us a note at h<URL> so our team can connect.
gold_0155,technical_issue,YES,Brand reply is generic/unhelpful; Unresolved in metadata,3,medium,"Not cool <MENTION>. I paid for an UberX, double what I would've paid for an Uber",<MENTION> We'll look into this! Kindly send us a note via <URL> so our team can 
gold_0156,technical_issue,NO,,2,medium,<MENTION> respond to the uber app queries,<MENTION> Hey there! We've just followed up with you via DM.
gold_0157,technical_issue,NO,,1,medium,<MENTION> the uber pool is a really crappy service. It's taken me 6kms of route.,<MENTION> We see your outreach and a member of our team will be following up via
gold_0158,technical_issue,YES,Angry/frustrated customer,1,medium,<MENTION> <MENTION> you should offer a service but for trucks and moving vans to,<MENTION> Happy to help! Please reach out to <URL> and fill out the 4 boxes at t
gold_0159,technical_issue,YES,Unresolved in metadata,2,hard,<MENTION> I get an error any time I try to request a ride <URL>,<MENTION> Here to help! Please send us a DM with your email address and phone nu
gold_0160,technical_issue,YES,Unresolved in metadata,3,hard,"<MENTION> thanks! Just got a notification that I have a message, once I tapped i","<MENTION> Sorry to hear about the troubles, Jovany. Please continue following up"
gold_0161,technical_issue,YES,Angry/frustrated customer; Unresolved in metadata,2,hard,<MENTION> <MENTION> What is this complication in ur app.... not able to reset th,<MENTION> Happy to take a look. Send us a DM (direct message) with your email ad
gold_0162,technical_issue,YES,Unresolved in metadata,3,hard,"<MENTION> Can you answer why my mailbox is flooded with your promotions, and new","<MENTION> Thanks for reaching back out, Kritika. A member of our team has alread"
gold_0163,technical_issue,YES,Brand reply is generic/unhelpful; Unresolved in metadata,2,hard,<MENTION> Paytm wallet in Paytm app and in uber app don't show the same balance.,<MENTION> Happy to help! Send us a DM with your email address and our team will 
gold_0164,technical_issue,YES,Unresolved in metadata,2,hard,<MENTION> why can’t I schedule a ride in advance? And don’t show me the tips on ,<MENTION> We followed up with you via DM.
gold_0165,technical_issue,YES,Brand reply is generic/unhelpful; Unresolved in metadata,3,hard,<MENTION> Can't request a ride. I'm logged in but keep getting an error when I t,<MENTION> We're here to help! Send us a DM with your email address so we can ass
